9090	10598
8531	5683
3182	7901
5644	12765
12749	374
3175	5671
9280	5799
9860	1927
12904	3352
10558	11740
8378	14247
13082	9727
11829	4405
9222	11949
7596	8783
12601	15892
1902	13396
8252	12562
5058	13888
4303	14436
8563	14390
7730	7397
13773	3140
6229	16784
7113	2639
6739	3632
9486	4752
185	7795
1239	10282
13277	6483
1452	15937
6083	8792
3605	7173
9737	7770
8126	15027
10570	15877
2593	5060
6081	14054
12016	7494
10087	5046
11405	1089
10916	3646
8708	8295
1185	14014
10594	598
10554	13124
1150	4098
7458	2394
4542	16482
9991	11197
10676	819
10217	14560
2542	15713
1610	5073
2309	14182
2480	995
13435	4843
5380	11997
5209	5572
6585	3697
4876	13745
6862	8881
12944	12234
1900	10324
1748	1222
9465	9992
59	8401
2265	3782
4190	3037
9366	15118
13862	5030
6950	12171
371	8246
7630	16949
5674	6105
9440	11951
1323	15120
3149	17344
778	1897
2079	7577
10958	17542
10703	16355
4414	12777
6390	274
5450	677
9754	7422
10496	17207
1368	2734
375	12339
3857	7209
1526	7601
1949	14873
10426	9177
12569	1524
783	11587
2689	8131
11543	8820
12937	10717
5096	12878
12210	11704
9507	8822
9189	4016
2167	12875
6240	15562
10438	9003
6490	16018
4722	4154
8184	7521
1455	152
13454	749
9398	10512
1928	8593
10957	12677
2213	16700
1570	2363
6056	17191
10512	4391
2913	11714
7207	383
12555	6691
12092	16259
919	8663
10460	3908
9678	9303
2118	9909
7011	5697
2774	719
975	1289
3289	3114
1577	15316
2723	8513
2692	8695
2695	11598
12913	8770
623	17238
6964	7405
4877	3563
6806	7172
2261	4887
6738	3684
9177	13761
9959	12721
13778	13821
7837	1051
5054	13648
6183	17714
13747	4411
13766	14475
1529	11228
5867	4288
11406	6934
12547	10484
1709	15385
3940	1814
13826	3265
6114	3520
10900	11125
609	6294
6992	17655
4402	3497
806	17630
9025	9570
12003	2682
6037	1764
4922	11280
9577	10088
4689	6017
6982	4369
6277	12141
7600	11735
2088	2119
11099	3047
11152	3048
11805	2646
7924	9338
7325	1938
4747	14699
876	15202
11915	10128
13743	4366
4067	14401
12056	6137
7150	16358
813	12075
10746	9907
13224	5442
2389	6268
6809	10156
2556	8242
6790	11041
10762	17742
12743	8850
8219	5064
12826	1132
4352	4949
2876	6328
12377	8407
5320	11711
3666	12929
4031	10793
5090	8251
7052	14333
12725	205
6085	13447
6406	5110
7394	9592
11114	15268
1326	16019
3452	10782
1800	3233
11956	1510
13553	12806
7266	13823
12320	10505
13220	5703
10765	13922
12612	12478
13736	2173
3294	9035
10586	8652
10125	16609
7533	16498
11194	11625
3402	9763
13517	4062
3599	3941
2605	1074
12906	654
5343	13879
12232	2261
4254	9213
12494	7364
847	9922
7321	5047
9470	7622
1737	8144
9842	7264
68	16719
6736	5913
1437	17405
6498	5026
2107	3662
9707	12936
5525	6963
7621	17211
6637	16341
10982	8151
8217	6219
2201	2956
11901	457
1240	4846
6050	8450
9036	11421
6298	12644
644	9676
4852	14876
13616	14952
9494	12267
6333	4765
1419	5820
10470	5953
12062	7409
6582	10314
2585	9837
8565	16559
4397	14264
6260	12533
1909	7373
13254	13426
1637	7284
7672	8832
9801	5523
