23232	9561
15812	381
19007	3982
20214	6475
3107	15038
8341	5973
2129	6249
2277	16097
22328	1265
5095	7613
22258	3284
12184	2515
2556	13441
7954	17004
6052	8818
15287	1939
8917	1445
17167	6899
18085	7771
15297	5874
23233	10288
10795	961
16845	9476
19777	1214
18346	8469
20140	14232
11538	11347
1360	5443
16477	3013
14463	14606
5874	9466
1801	8550
23223	9469
11372	7330
9366	8447
10609	4830
16284	16853
6745	17736
4075	1171
21908	5826
12300	3878
4948	12081
9441	7198
3219	8406
14693	8438
13484	15817
403	14308
3517	12473
7261	10027
18529	14753
4487	8822
17739	4508
2551	7582
15254	2180
10466	16394
15376	2486
13401	9618
12281	12205
20294	38
16377	10119
15078	8864
7930	13867
9590	9861
12913	2516
18634	12539
6883	14137
2022	16482
3664	1902
18525	13626
22733	1476
949	6565
17772	15472
9895	12402
18371	3226
22395	5843
5578	13019
6450	2859
11753	14432
7518	934
2773	11033
21061	9811
15715	15708
2924	14596
8659	3494
6421	6873
1957	9350
2398	2213
22222	5351
12007	16252
23133	9014
15797	16380
2652	1761
20654	2760
1486	5566
3969	5179
5269	9610
4894	1440
19859	1357
7070	14644
12132	11421
17801	7086
21884	15378
22664	9323
6732	16981
15228	1515
4084	11769
9116	4484
1792	1574
614	17453
6386	12715
17074	12352
14829	4877
3138	16343
11410	14269
16659	15805
7311	8435
6246	14015
20555	9482
16016	6471
874	2973
14873	4194
5676	15478
20060	11585
14493	16579
17490	515
6826	15385
17583	3373
11043	10016
17779	13087
21978	12138
11369	6190
17536	12704
1939	12364
13459	14767
17053	12321
2749	2710
19629	62
21522	10752
671	16828
5384	11396
7574	5092
10495	17603
16206	11449
2213	7862
14549	15914
22384	4534
5409	9039
21301	5393
1483	3349
13329	15726
18192	4813
21916	7447
593	9851
3629	6462
12826	5221
15374	14184
7096	4952
14048	6281
1932	12272
22440	8880
5618	17513
11973	9996
8279	4811
22262	12002
5547	586
21521	5978
4596	7882
22817	11077
18692	12131
19548	14588
8155	16443
11012	5309
20250	2373
6769	34
8558	16573
14579	358
16328	8262
10805	7097
1140	8977
15134	1244
11391	7230
15009	12754
9036	13694
10389	17268
16785	12568
14446	1922
2712	13259
17217	10118
13186	10041
20843	13872
18720	13380
22583	6092
13482	9748
18866	4038
2541	1284
7717	10146
8869	6291
20590	5258
9032	16471
15235	15446
9254	8167
19473	1948
9165	17551
16608	13398
17883	571
6905	6085
14613	3663
11694	17059
22448	6197
18242	8901
5794	27
